dataset,file_path,class,split
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_10.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_2-122104-A.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_118.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_15.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_143.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_24 (2).wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_3-152039-B.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (8).wav,Bird,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_kurbaga_30.wav,Frog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_40.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_123.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_58.wav,Cow,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_11.wav,Frog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_5-202795-A.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_22.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_120.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_136.wav,Dog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_4.wav,Sheep,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_6.wav,Donkey,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (61).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_72.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_92.wav,Bird,train
animal,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_5.wav,Monkey,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_25.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_75.wav,Bird,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_12.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_2-114280-A.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_191.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_48.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_22.wav,Bird,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_19.wav,Donkey,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_31.wav,Cow,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_28.wav,Chicken,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (23).wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_121.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_36.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_20 (2).wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (73).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_131.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_70.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_151.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_170.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_5.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_79.wav,Dog,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_41.wav,Lion,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_3.wav,Dog,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_7.wav,Donkey,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_89.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_2-103428-A.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_47.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_48.wav,Cat,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_29.wav,Sheep,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_188.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_117.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_14.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_145.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_85.wav,Bird,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_38.wav,Sheep,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_19.wav,Bird,train
animal,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_17.wav,Monkey,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_61.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_4.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_44.wav,Bird,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_4.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_158.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_27.wav,Frog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_120.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_145.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_19 (3).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_1.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_5-203128-A.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_36.wav,Cow,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_5-156026-C.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_1.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (35).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_80.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_11.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_26.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_4.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_67.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_61.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_181.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_44.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_4.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_2-103424-A.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_190.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_26.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_22.wav,Cat,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_40.wav,Lion,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (7).wav,Bird,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_26.wav,Sheep,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_21.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_23.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_50.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_12.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_66.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_1-97392-A.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (89).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_18.wav,Cow,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_8.wav,Frog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_56.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_15.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_49.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_98.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_47.wav,Frog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_199.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_archivo (3).wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_1.wav,Cat,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_26.wav,Chicken,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_17.wav,Lion,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_38.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_99.wav,Dog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_12.wav,Sheep,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_48.wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_69.wav,Cat,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (38).wav,Bird,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_30.wav,Sheep,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_129.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_55.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_50.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_2.wav,Cat,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_50.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_63.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_25.wav,Frog,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_36.wav,Lion,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_69.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_33 (3).wav,Dog,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_14.wav,Chicken,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_3-180256-A.wav,Dog,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_37.wav,Lion,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_163.wav,Cat,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (57).wav,Bird,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_99.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_13.wav,Dog,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_4.wav,Chicken,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_23.wav,Frog,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_12.wav,Chicken,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_112.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_2-117271-A.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_5-208030-A.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_28 (2).wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_28.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_1-202111-A.wav,Cow,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_40.wav,Sheep,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_71.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_35.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_167.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_30.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_44 (2).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_23.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_117.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_165.wav,Cat,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (32).wav,Bird,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_kurbaga_4.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_87.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_30.wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_33.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_31 (2).wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_142.wav,Cat,train
animal,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_43.wav,Lion,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (86).wav,Bird,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_18.wav,Chicken,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_49.wav,Cow,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_49.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (10).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_24 (3).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_174.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_62.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_31.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_102.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_31.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_100.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (65).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_17.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_4-182395-A.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_36.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_5-213855-A.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_39.wav,Cow,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_1-31836-B.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_43.wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_44.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_46.wav,Bird,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (72).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_2 (2).wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_13.wav,Frog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_6.wav,Sheep,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (2).wav,Bird,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_3-102908-A.wav,Frog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_134.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_2-117795-B.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_83.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_17.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (64).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_32 (3).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_20.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (9).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_16 (3).wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_10.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_34.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_13.wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_36 (3).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_66.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_61.wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_170.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_3-83527-A.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_85.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_35.wav,Frog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_16.wav,Frog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_29.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_123.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_21.wav,Frog,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_5.wav,Chicken,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_23.wav,Chicken,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_2-52085-A.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (5).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_40.wav,Dog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_5.wav,Sheep,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_20.wav,Sheep,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_24.wav,Chicken,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_17.wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_54.wav,Cat,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_7.wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_11.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_2-118072-A.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_10 (2).wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_105.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_97.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_84.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_37.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_33.wav,Bird,train
animal,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_3.wav,Monkey,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_10.wav,Chicken,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_10.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_135.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_78.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_3-152039-A.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (44).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_41.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_114.wav,Dog,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_10.wav,Donkey,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (43).wav,Bird,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (25).wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_138.wav,Cat,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_16.wav,Sheep,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_116.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_178.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_146.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_185.wav,Dog,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_1.wav,Donkey,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_4-192236-A.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_30.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_65.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_5.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (3).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_4-174860-B.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_5-242492-A.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_4.wav,Dog,train
animal,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_1.wav,Monkey,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_165.wav,Dog,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_95.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_18.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_34.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_73.wav,Dog,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_68.wav,Dog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_18.wav,Sheep,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_90.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_187.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_10.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_17.wav,Frog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_33.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_65.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_182.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_3.wav,Frog,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_18 (2).wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (58).wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_4-181955-C.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (36).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_74.wav,Dog,train
animal,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_9.wav,Chicken,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (59).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_144.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_5.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_47.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_52.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_82.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_38.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_94.wav,Bird,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_57.wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_32.wav,Cat,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_172.wav,Cat,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_109.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_26.wav,Cow,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_19.wav,Sheep,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_4-130584-A.wav,Frog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_3.wav,Sheep,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_24.wav,Dog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_81.wav,Bird,train
